soc,hold_time_h,P_head_total_mw,P_head_frac_of_rated,dP_critical_mw,A_bar,binding_gfm,P_head_G1_mw,P_head_G2_mw,P_head_G3_mw,P_head_G4_mw,P_head_G5_mw,P_head_G6_mw
0.525,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.55,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.575,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.6,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.625,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.65,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.675,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.7,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.725,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.75,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.775,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.8,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.825,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.85,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.875,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.9,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.925,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.95,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.975,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
1.0,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.1,0.5,0.0,0.0,0.0,,G1,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.5,0.3414049999999999,0.10000146455770355,0.3271656254118887,6.0059681709521175,G2,0.11380499999999998,0.056899999999999985,0.056899999999999985,0.028449999999999993,0.056899999999999985,0.028449999999999993
0.15,0.5,0.6828099999999998,0.2000029291154071,0.6543312508237774,6.0059681709521175,G2,0.22760999999999995,0.11379999999999997,0.11379999999999997,0.056899999999999985,0.11379999999999997,0.056899999999999985
0.175,0.5,1.0242149999999997,0.30000439367311066,0.981496876235666,6.0059681709521175,G2,0.3414149999999999,0.17069999999999994,0.17069999999999994,0.08534999999999997,0.17069999999999994,0.08534999999999997
0.2,0.5,1.3656199999999998,0.4000058582308143,1.308662501647555,6.0059681709521175,G2,0.45522,0.2276,0.2276,0.1138,0.2276,0.1138
0.225,0.5,1.7070249999999998,0.5000073227885179,1.6358281270594437,6.0059681709521175,G2,0.569025,0.2845,0.2845,0.14225,0.2845,0.14225
0.25,0.5,2.0484299999999998,0.6000087873462214,1.9629937524713326,6.0059681709521175,G2,0.6828299999999999,0.3414,0.3414,0.1707,0.3414,0.1707
0.275,0.5,2.3898349999999997,0.700010251903925,2.290159377883221,6.005968170952118,G2,0.7966350000000001,0.3983,0.3983,0.19915,0.3983,0.19915
0.3,0.5,2.7312399999999997,0.8000117164616286,2.61732500329511,6.0059681709521175,G2,0.9104399999999999,0.45519999999999994,0.45519999999999994,0.22759999999999997,0.45519999999999994,0.22759999999999997
