pflow_converged,eig_ok,error,n_modes,n_free_angle,max_re_all,max_re,n_unstable,stable,zeta_min,f_at_zeta_min_hz,zeta_min_lf,f_at_zeta_min_lf_hz,f_worst_unstable_hz,wallclock_s,deployment,x_f_pu,droop_r,load_p2z,p_head_mw,config,kp_plim,kp_i,ki_i
True,True,,108,13,7.9927124745878615,7.9927124745878615,2,False,-0.015817851318328757,80.41045041507039,0.5462784993159261,0.4501348469102037,80.41045041507039,0.2,6gfm,0.1,0.03,1.0,,A,1.0,0.2,5.0
True,True,,108,13,2.9962850679913657,2.9962850679913657,2,False,-0.005645123578871831,84.47396667136411,0.7105423618021746,0.3315450135458411,84.47396667136411,0.2,6gfm,0.1,0.05,0.0,,A,1.0,0.2,5.0
True,True,,108,13,2.5356996852975016,2.5356996852975016,2,False,-0.004768010812039874,84.64002445439893,0.7112018859940267,0.3302934321853047,84.64002445439893,0.2,6gfm,0.1,0.05,1.0,,A,1.0,0.2,5.0
True,True,,108,13,9.675191234366295,9.675191234366295,6,False,-0.028697513851852402,53.63601586328707,0.36010116206442216,0.4796293649792693,53.63601586328707,0.2,6gfm,0.15,0.02,0.0,,A,1.0,0.2,5.0
True,True,,108,13,9.03545260799794,9.03545260799794,6,False,-0.026719542200030894,53.80045479566299,0.3620737363910992,0.47881130765708463,53.80045479566299,0.2,6gfm,0.15,0.02,1.0,,A,1.0,0.2,5.0
True,True,,108,13,5.945046995890571,5.945046995890571,2,False,-0.017015708852657872,55.59842603427339,0.5430306907115029,0.45303359184916897,55.59842603427339,0.21,6gfm,0.15,0.03,0.0,,A,1.0,0.2,5.0
True,True,,108,13,5.35454679807188,5.35454679807188,2,False,-0.015280740720993273,55.763205827861974,0.5452856722516294,0.4514694813976384,55.763205827861974,0.47,6gfm,0.15,0.03,1.0,,A,1.0,0.2,5.0
True,True,,108,13,4.725610737154897e-10,-0.7484070715159135,0,True,0.002002463257950931,59.482962092293725,0.7113130859164254,0.3317392374099293,,0.2,6gfm,0.15,0.05,0.0,,A,1.0,0.2,5.0
True,True,,108,13,1.0485133171337443e-14,-1.2468814464842524,0,True,0.0033270585983166175,59.646153336893576,0.71197114716406,0.3304764283359902,,0.2,6gfm,0.15,0.05,1.0,,A,1.0,0.2,5.0
True,True,,108,13,8.735857996136573,8.735857996136573,6,False,-0.03379294749346217,41.11984870658248,0.3587385874076671,0.4802519909895042,41.11984870658248,0.2,6gfm,0.2,0.02,0.0,,A,1.0,0.2,5.0
True,True,,108,13,8.010034698767178,8.010034698767178,6,False,-0.030871387576224055,41.27540370214079,0.3607206568214202,0.47943786395174076,41.27540370214079,0.2,6gfm,0.2,0.02,1.0,,A,1.0,0.2,5.0
True,True,,108,13,4.567117743837855,4.567117743837855,2,False,-0.016935473690610724,42.91436615139497,0.541990022625659,0.4543902334596998,42.91436615139497,0.2,6gfm,0.2,0.03,0.0,,A,1.0,0.2,5.0
True,True,,108,13,3.8993759494075917,3.8993759494075917,2,False,-0.014406748035790659,43.07290915317573,0.5442723174988908,0.45281852513404813,43.07290915317573,0.45,6gfm,0.2,0.03,1.0,,A,1.0,0.2,5.0
True,True,,108,13,1.2853598466618847e-14,-2.115322321136979,0,True,0.010253643614292004,46.50527173004957,0.6869941965162434,2.9191805541731526,,0.2,6gfm,0.2,0.05,0.0,,A,1.0,0.2,5.0
True,True,,108,13,1.1219871256365564e-14,-2.1111482984404057,0,True,0.012099228426945467,46.665931372442785,0.6869941688909873,2.9191804851765366,,0.2,6gfm,0.2,0.05,1.0,,A,1.0,0.2,5.0
True,True,,47,5,2.79598413237828e-09,-1.1206264664681203,0,True,0.01758974833710678,53.37480621690056,0.5718201710781244,0.25587983781683066,,0.2,2gfm,0.15,0.05,0.0,1.732,A,1.0,0.2,5.0
True,True,,47,5,2.79598413237828e-09,-1.1206264664681203,0,True,0.01758974833710678,53.37480621690056,0.5718201710781244,0.25587983781683066,,0.2,2gfm,0.15,0.05,0.0,0.891,A,1.0,0.2,5.0
True,True,,47,5,2.79598413237828e-09,-1.1206264664681203,0,True,0.01758974833710678,53.37480621690056,0.5718201710781244,0.25587983781683066,,0.2,2gfm,0.15,0.05,0.0,0.05,A,1.0,0.2,5.0
True,True,,92,11,1.4448106658687772e-14,-1.0687672979190381,0,True,0.00287526515203146,59.15937708831075,0.6821335661635974,0.31410222938783156,,0.45,5gfm,0.15,0.05,0.0,1.732,A,1.0,0.2,5.0
True,True,,92,11,1.4448106658687772e-14,-1.0687672979190381,0,True,0.00287526515203146,59.15937708831075,0.6821335661635974,0.31410222938783156,,0.2,5gfm,0.15,0.05,0.0,0.891,A,1.0,0.2,5.0
True,True,,92,11,1.4448106658687772e-14,-1.0687672979190381,0,True,0.00287526515203146,59.15937708831075,0.6821335661635974,0.31410222938783156,,0.2,5gfm,0.15,0.05,0.0,0.05,A,1.0,0.2,5.0
True,True,,108,13,4.725610737154897e-10,-0.7484070715159135,0,True,0.002002463257950931,59.482962092293725,0.7113130859164254,0.3317392374099293,,0.2,6gfm,0.15,0.05,0.0,1.732,A,1.0,0.2,5.0
True,True,,108,13,4.725610737154897e-10,-0.7484070715159135,0,True,0.002002463257950931,59.482962092293725,0.7113130859164254,0.3317392374099293,,0.2,6gfm,0.15,0.05,0.0,0.891,A,1.0,0.2,5.0
True,True,,108,13,4.725610737154897e-10,-0.7484070715159135,0,True,0.002002463257950931,59.482962092293725,0.7113130859164254,0.3317392374099293,,0.2,6gfm,0.15,0.05,0.0,0.05,A,1.0,0.2,5.0
True,True,,47,5,7.89884162702711,7.89884162702711,2,False,-0.01844219878436095,68.15488219791695,0.48757994492338136,4.868657819324913,68.15488219791695,0.46,2gfm,0.05,0.02,0.0,,B,0.2,0.1,3.0
True,True,,47,5,7.463531822943239,7.463531822943239,2,False,-0.017373420129555252,68.36182462463312,0.5430335699693604,0.27163535843359626,68.36182462463312,0.2,2gfm,0.05,0.02,1.0,,B,0.2,0.1,3.0
True,True,,47,5,1.7897563355898924,1.7897563355898924,2,False,-0.0040173793504292244,70.90350306748302,0.48413449159577937,4.906451381310204,70.90350306748302,0.2,2gfm,0.05,0.03,0.0,,B,0.2,0.1,3.0
True,True,,47,5,1.419060160558189,1.419060160558189,2,False,-0.0031762855012529255,71.10484864376106,0.5615751153870482,0.25746247346349505,71.10484864376106,0.2,2gfm,0.05,0.03,1.0,,B,0.2,0.1,3.0
True,True,,47,5,0.0,-1.1232454718989868,0,True,0.018287336840941117,76.37129784183576,0.4819276557723317,4.9796335053929095,,0.2,2gfm,0.05,0.05,0.0,,B,0.2,0.1,3.0
