method,scenario,vpp,em_p_eur,am_cap_eur,am_act_eur,undersupply_eur,opex_eur,gross_revenue_eur,net_profit_eur,duration_h
No FFR,S4_high_ren_surge,VPP_1,1.8642831021894026,0.0036979322512646225,0.0,0.0,0.0,1.8679810344406673,1.8679810344406673,0.08333333333333333
No FFR,S4_high_ren_surge,VPP_2,0.29360166776535834,0.003167246589059991,0.0,0.0,0.0,0.2967689143544183,0.2967689143544183,0.08333333333333333
No FFR,S4_high_ren_surge,VPP_3,0.22576184844229336,0.0032035151362797476,0.0,0.0,0.0,0.2289653635785731,0.2289653635785731,0.08333333333333333
Fixed Droop,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
Fixed Droop,S4_high_ren_surge,VPP_1,1.915483096459021,0.016662202821923225,1.6677679512959514e-05,0.3331940233999255,0.0,1.9321619769604572,1.5989679535605317,0.08333333333333333
Fixed Droop,S4_high_ren_surge,VPP_2,0.33280633484840283,0.01492984324983263,1.4937947734331453e-05,0.29855205115344957,0.0,0.3477511160459698,0.04919906489252024,0.08333333333333333
Fixed Droop,S4_high_ren_surge,VPP_3,0.25210846751443616,0.011965267330393546,1.196077127785597e-05,0.23926946429403734,0.0,0.26408569561610756,0.024816231322070226,0.08333333333333333
GraphSAGE-MAPPO,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GraphSAGE-MAPPO,S4_high_ren_surge,VPP_1,1.756714160318157,0.12043510580505246,0.0,0.0,0.0,1.8771492661232094,1.8771492661232094,0.08333333333333333
GraphSAGE-MAPPO,S4_high_ren_surge,VPP_2,0.11928769475775106,0.0768191356061337,0.0,0.0,0.0,0.19610683036388477,0.19610683036388477,0.08333333333333333
GraphSAGE-MAPPO,S4_high_ren_surge,VPP_3,0.09250284366306874,0.0696843409815083,0.0,0.0,0.0,0.16218718464457704,0.16218718464457704,0.08333333333333333
MLP-MAPPO,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MLP-MAPPO,S4_high_ren_surge,VPP_1,1.981285328208071,0.21675005346924694,1.6067647621221787e-05,3.0625398722764796,0.0,2.198051449324939,-0.8644884229515406,0.08333333333333333
MLP-MAPPO,S4_high_ren_surge,VPP_2,0.44176415640813715,0.21935329818223068,1.622815495768426e-05,3.087420967701405,0.0,0.6611336827453256,-2.4262872849560795,0.08333333333333333
MLP-MAPPO,S4_high_ren_surge,VPP_3,0.3326508960845345,0.20760082932583473,1.5232644590136878e-05,2.9099296400472427,0.0,0.5402669580549594,-2.3696626819922835,0.08333333333333333
GCNN-PPO,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GCNN-PPO,S4_high_ren_surge,VPP_1,1.8219205125513835,0.3118153379814773,0.00011454355686622425,5.596272742595575,0.0,2.133850394089727,-3.4624223485058483,0.08333333333333333
GCNN-PPO,S4_high_ren_surge,VPP_2,0.20673741140560203,0.3135258121153314,0.00011516570664001998,5.633255045656969,0.0,0.5203783892275735,-5.112876656429395,0.08333333333333333
GCNN-PPO,S4_high_ren_surge,VPP_3,0.15589138565148802,0.2985469980236314,0.00011013814288801157,5.36814197739626,0.0,0.4545485218180074,-4.913593455578253,0.08333333333333333
MATD3,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MATD3,S4_high_ren_surge,VPP_1,2.0345932268824507,0.3717588797613684,8.242765082732023e-05,6.711258631520788,0.0,2.4064345342946463,-4.304824097226142,0.08333333333333333
MATD3,S4_high_ren_surge,VPP_2,0.5228729367512625,0.3719692321441467,8.24695844854541e-05,6.714679133408221,0.0,0.8949246384798946,-5.819754494928326,0.08333333333333333
MATD3,S4_high_ren_surge,VPP_3,0.39134233867324764,0.37176246735267504,8.243510581950377e-05,6.711868872695911,0.0,0.7631872411317422,-5.948681631564169,0.08333333333333333
